block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49
0.0,189973025.77548647,29050801.391180675,19378928.285748128,15183789.925679227,11864809.082805607,11741162.958983853,11099172.499674037,11076625.569443488,9004534.473824214,8682614.32908727,8660415.273480488,8574567.49523218,8146603.476487663,7504136.272245182,6544402.625713058,6495473.939664813,6329705.420350123,5941596.814497539,5773537.192895619,5655423.340755492,5417199.009496277,5348134.231491488,5281738.575255653,5199863.2671745,5069742.024914901,4851585.417837305,4597523.687987148,4562185.921230121,4488647.070072026,4361365.91504642,4178730.698841599,4129533.1519079795,3991237.54003661,3667964.631662734,3614294.102017151,3530787.8971705884,3490054.1194944037,3438233.6852762187,3384794.135558414,3262105.7480729246,3176698.6939191637,3077845.7110572793,3024728.368507013,2911259.120303695,2760369.517707819,2754443.3445240483,2569439.1613569055,2490686.22503854,2348634.0287988316,2338848.855007099
52596.0,190022040.5880668,29055614.07677107,19386447.20238705,15186113.161558324,11866258.44893623,11745461.830857465,11096120.113070553,11077861.99965847,9002632.622775177,8678090.885430928,8658028.049833067,8573637.914760549,8143927.738199693,7500944.832646209,6540342.901267908,6489429.2193050925,6325399.194602382,5935127.461048153,5768642.935925819,5650214.791243494,5411663.47806469,5355798.219108671,5289645.279353776,5207300.197770229,5077393.907339192,4857499.3581130365,4603100.391656627,4569296.121900015,4495521.589691576,4368030.5848877495,4184117.50992389,4130342.7289965255,3996827.2484189253,3673578.0898611825,3619598.246885038,3535672.070668339,3494875.8776953183,3443197.1052156994,3389149.18545336,3266578.226976067,3179747.4263441903,3078315.160698294,3029495.396895443,2914852.499403313,2762949.761021638,2758059.9021685687,2572625.104927596,2494068.263967287,2350748.9545203983,2341904.5271826116
105192.0,190071279.6677624,29060496.98878672,19394048.18221034,15188498.287193928,11867763.577149343,11749827.748859325,11093108.319685072,11079153.9080566,9000774.699835723,8673601.954031503,8655681.9327138,8572752.246769376,8141292.185352614,7497791.330827353,6536313.327473839,6483412.344797826,6321121.873115994,5928683.998852584,5763774.556769835,5645030.583319622,5406153.429869841,5363498.9511280935,5297591.260531139,5214772.854071207,5085083.999634547,4863441.627391593,4608703.940831326,4576442.50920633,4502430.845676269,4374729.006101576,4189531.088302892,4131157.0161254215,4002444.118154184,3679220.641854701,3624929.632135369,3540580.2720459932,3499721.386572735,3448186.0932091223,3393527.468699826,3271072.905311036,3182811.353060871,3078788.1208517756,3034289.9201544123,2918464.52687779,2765543.2073060726,2761696.6543764817,2575828.8788370923,2497469.774964757,2352875.462775406,2344976.268439228
157788.0,190120743.25949505,29065450.21124233,19401731.356847882,15190945.391548665,11869324.535418797,11754260.81701398,11090137.160605479,11080501.366162268,8998960.752522506,8669147.563265868,8653376.95763567,8571910.526361644,8138696.853196127,7494675.795956111,6532313.895538902,6477423.3274845285,6316873.442716269,5922266.433432624,5758932.031005581,5639870.687645173,5400668.843588739,5371236.533896091,5305576.641967884,5222281.339475525,5092812.422364469,4869412.303913684,4614334.4096546965,4583625.200621287,4509374.948311399,4381461.285845731,4194971.513238706,4131976.0188475405,4008088.226245482,3684892.382090194,3630288.343719642,3545512.569423133,3504590.7134604156,3453200.7294425885,3397929.0629068664,3275589.8460137076,3185890.512396976,3079264.5956563544,3039112.0481494395,2922095.257946487,2768149.8898657877,2765353.672357666,2579050.5440193913,2500890.8300192975,2355013.5853755716,2348064.125284518
210384.0,190170431.60845888,29070473.828377035,19409496.858419232,15193454.56394842,11870941.392083727,11758761.1399104,11087206.677134877,11081904.445886904,8997190.828640547,8664727.741710786,8651113.160357667,8571112.78897276,8136141.777230381,7491598.257432866,6528344.596830451,6471462.178870549,6312653.890375171,5915874.770457372,5754115.334320415,5634735.074977705,5395209.697928701,5379011.074069644,5313601.547219805,5229825.757683169,5100579.296460585,4875411.466143973,4619991.872482396,4590844.313980012,4516354.008214405,4388227.531601084,4200438.8642308,4132799.7427211124,4013759.6499189455,3690593.405306231,3635674.4678518213,3550469.031116742,3509483.9258871693,3458241.0943467165,3402354.0459497795,3280129.1122023226,3188984.9427831173,3079744.5892547676,3043961.8911834657,2925744.747995551,2770769.8420947785,2769031.0275804023,2582290.1616241653,2504331.501392818,2357163.354225716,2351168.1443617013
262980.0,190220344.96011823,29075567.92465418,19417344.819533724,15196025.894081255,11872614.215850187,11763328.822701698,11084316.910793584,11083363.219529655,8995464.976284355,8660342.518143075,8648890.576885797,8570359.070371872,8133626.993207015,7488558.744892027,6524405.4228757955,6465528.910626005,6308463.203211298,5909509.015744073,5749324.4425122915,5629623.716171546,5389775.971627682,5386822.678616606,5321666.100219233,5237406.212696606,5108384.743222993,4881439.192771306,4625676.403882814,4598099.967480894,4523368.136335572,4395027.851171808,4205933.221018423,4133628.1933098645,4019458.466624036,3696323.8065335043,3641088.091008703,3555449.7256412744,3514401.091577004,3463307.2685974794,3406802.4959709807,3284690.767177669,3192094.6827530856,3080228.105793784,3048839.5599977607,2929413.052578123,2773403.0974766887,2772728.79177195,2585547.793017174,2507791.86162159,2359324.8013238264,2354288.3724499987
315576.0,190270483.56021416,29080732.584765367,19425275.373292625,15198659.472000634,11874343.075791778,11767963.971108241,11081467.903317763,11084877.75977889,8993783.24383883,8655991.921540897,8646709.243473547,8569649.406663777,8131152.537130001,7485557.288202755,6520496.365363128,6459623.534586392,6304301.368490885,5903169.17525872,5744559.331490127,5624536.582178723,5384367.643454365,5394671.454816214,5329770.425275336,5245022.808820532,5116228.8843216235,4887495.562709294,4631388.07863699,4605392.279686102,4530417.443958322,4401862.352685653,4211454.663581225,4134461.3761828803,4025184.754033767,3702083.6810950874,3646529.2999302065,3560454.721709025,3519342.2784495447,3468399.3331158166,3411274.491380389,3289274.874423152,3195219.770943913,3080715.1494242093,3053745.165772973,2933100.2274146923,2776049.6895848922,2776447.0369191654,2588823.499781193,2511271.9835167974,2361497.9587612012,2357424.8564648554
368172.0,190320847.65475583,29085967.89362544,19433288.65328963,15201355.388124874,11876128.04135039,11772666.691416686,11078659.69666158,11086448.139712863,8992145.679980097,8651675.981083972,8644569.196622903,8568983.834288657,8128718.445256444,7482593.917469623,6516617.416142118,6453746.062753563,6300168.373628563,5896855.255116961,5739819.977274633,5619473.644049347,5378984.692208677,5402557.510259398,5337914.647074641,5252675.650663317,5124111.841795359,4893580.655096512,4637126.971739296,4612721.369522006,4537502.042699514,4408731.144594492,4217003.272139219,4135299.2969147223,4030938.5900451336,3707873.124606985,3651998.181619812,3565484.0882303407,3524307.5546200746,3473517.369068505,3415770.110856163,3293881.497605275,3198360.246096026,3081205.7243008586,3058678.8201303217,2936806.328393471,2778709.6520825913,2780185.835269128,2592117.3437157557,2514771.9401653456,2363682.858722715,2360577.643458061
420768.0,190371437.49002945,29091273.936376773,19441384.793611057,15204113.733238515,11877969.182337776,11777437.09048418,11075892.332997445,11088074.432801118,8990552.333676605,8647394.726154858,8642470.47308527,8568362.39002387,8126324.754097708,7479668.663033982,6512768.567224742,6447896.507296188,6296064.206187926,5890567.261584724,5735106.355998861,5614434.872932341,5373627.096721799,5410480.952849609,5346098.890681865,5260364.843136804,5132033.738053443,4899694.549296855,4642893.158397572,4620087.356279613,4544622.04450998,4415634.3356747115,4222579.127153524,4136141.961085317,4036720.052779345,3713692.232978224,3657494.8233449813,3570537.894314235,3529296.9884000737,3478661.4578683553,3420289.4333451865,3298510.700573912,3201516.1470532636,3081699.834582634,3063640.635132413,2940531.411570453,2781383.0187230203,2783945.2593296194,2595429.386838178,2518291.8049305617,2365879.5334869404,2363746.7806178634
473364.0,190422253.3125913,29096650.79838838,19449563.92883999,15206934.598493202,11879866.568936504,11782275.2757383,11073165.854716824,11089756.712905342,8989003.254189791,8643148.186339686,8640413.109862052,8567785.110984836,8123971.500419353,7476781.5554740345,6508949.810786128,6442074.88055094,6291988.853882679,5884305.201079134,5730418.44390916,5609420.240076313,5368294.835856402,5418441.890802824,5354323.281539891,5268090.4914568085,5139994.695875773,4905837.324899921,4648686.714033496,4627490.359615106,4551777.561674882,4422572.035027457,4228182.309326601,4136989.3742800765,4042529.220582206,3719541.102411534,3663019.3126372634,3575616.2092676456,3534310.648297407,3483831.6811744994,3424832.5380636803,3303162.5473623155,3204687.5127636394,3082197.48443246,3068630.7232843437,2944275.533169841,2784069.8233495173,2787725.3818698954,2598759.6913839285,2521831.651452608,2368088.0154262464,2366932.3152694334
