block,inflation,stakingRatio,bondedAmount,totalSupply
0.0,0.1,0.6,500000000.0,1000000000.0
52596.0,0.10027480820872592,0.6,500500896.024085,1000834826.7068021
105192.0,0.1005494814170094,0.6,501003586.2093221,1001672643.6821911
157788.0,0.10082401936828206,0.6,501508073.68308485,1002513456.1384624
210384.0,0.10109842180699151,0.6,502014361.58472717,1003357269.3078663
262980.0,0.10137268847860195,0.6,502522453.065606,1004204088.44267
315576.0,0.1016468191295942,0.6,503032351.289114,1005053918.8151814
368172.0,0.1019208135074678,0.6,503544059.43070483,1005906765.7178353
420768.0,0.10219467136073987,0.6,504057580.67795694,1006762634.4632003
473364.0,0.10246839243894736,0.6,504572918.2304557,1007621530.384031
525960.0,0.10274197649264782,0.6,505090075.30004287,1008483458.8333414
578556.0,0.10301542327341767,0.6,505609055.110698,1009348425.1844316
631152.0,0.10328873253385651,0.6,506129860.89859575,1010216434.8309286
683748.0,0.1035619040275862,0.6,506652495.91214705,1011087493.1868436
736344.0,0.10383493750925024,0.6,507176963.4120204,1011961605.6866312
788940.0,0.10410783273451663,0.6,507703266.6711638,1012838777.7852001
841536.0,0.1043805894600762,0.6,508231408.97484714,1013719014.958004
894132.0,0.10465320744364551,0.6,508761393.62068367,1014602322.7010628
946728.0,0.10492568644396613,0.6,509293223.91865444,1015488706.5310287
999324.0,0.10519802622080465,0.6,509826903.19114965,1016378171.9851863
1051920.0,0.10547022653495494,0.6,510362434.77298397,1017270724.6215763
1104516.0,0.10574228714823802,0.6,510899822.0114375,1018166370.0189974
1157112.0,0.10601420782350189,0.6,511439068.26627696,1019065113.7770607
1209708.0,0.10628598832462335,0.6,511980176.9097888,1019966961.5162423
1262304.0,0.10655762841650661,0.6,512523151.3268067,1020871918.8779385
1314900.0,0.10682912786508825,0.6,513067994.91474617,1021779991.5245036
1367496.0,0.10710048643732761,0.6,513614711.0836271,1022691185.1393049
1420092.0,0.10737170390122043,0.6,514163303.2561093,1023605505.426774
1472688.0,0.10764278002579078,0.6,514713774.86752087,1024522958.1124434
1525284.0,0.10791371458109437,0.6,515266129.3658872,1025443548.9430513
1577880.0,0.10818450733821731,0.6,515820370.21196246,1026367283.6865082
1630476.0,0.10845515806927795,0.6,516376500.87926096,1027294168.1320046
1683072.0,0.10872566654742777,0.6,516934524.85408145,1028224208.0900425
1735668.0,0.10899603254684913,0.6,517494445.6355559,1029157409.3924974
1788264.0,0.10926625584275959,0.6,518056266.7356539,1030093777.8926597
1840860.0,0.10953633621140808,0.6,518619991.67923164,1031033319.465294
1893456.0,0.1098062734300786,0.6,519185624.0040621,1031976040.0066751
1946052.0,0.11007606727708857,0.6,519753167.2608522,1032921945.4346769
1998648.0,0.1103457175317907,0.6,520322625.01329833,1033871041.6887511
2051244.0,0.11061522397457198,0.6,520894000.83809096,1034823334.7300752
2103840.0,0.11088458638685285,0.6,521467298.3249666,1035778830.5415314
2156436.0,0.11115380455109153,0.6,522042521.07673115,1036737535.1278028
2209032.0,0.11142287825078079,0.6,522619672.7092851,1037699454.5153929
2261628.0,0.11169180727044897,0.6,523198756.8516727,1038664594.7527055
2314224.0,0.11196059139566122,0.6,523779777.14609873,1039632961.9100733
2366820.0,0.11222923041301834,0.6,524362737.24796313,1040604562.0798434
2419416.0,0.11249772411015733,0.6,524947640.82589966,1041579401.3764019
2472012.0,0.11276607227575394,0.6,525534491.56180245,1042557485.9362414
2524608.0,0.1130342746995196,0.6,526123293.15086627,1043538821.9180086
2577204.0,0.11330233117220151,0.6,526714049.3016059,1044523415.5025717
2629800.0,0.11357024148558581,0.6,527306763.73589784,1045511272.8930533
2682396.0,0.11383800543249632,0.6,527901440.1890134,1046502400.3149139
2734992.0,0.11410562280679337,0.6,528498082.4096529,1047496804.0159762
2787588.0,0.11437309340337633,0.6,529096694.1599695,1048494490.2665081
2840184.0,0.11464041701818058,0.6,529697279.2156167,1049495465.359256
2892780.0,0.11490759344818091,0.6,530299841.3657905,1050499735.6095381
2945376.0,0.11517462249138938,0.6,530904384.4131845,1051507307.3551955
2997972.0,0.11544150394685684,0.6,531510912.1741471,1052518186.9568028
3050568.0,0.115708237614672,0.6,532119428.47863764,1053532380.7976184
3103164.0,0.1159748232959608,0.6,532729937.1702721,1054549895.2836757
3155760.0,0.1162412607928884,0.6,533342442.10636294,1055570736.8438268
3208356.0,0.11650754990865848,0.6,533956947.15795106,1056594911.9298099
3260952.0,0.11677369044751139,0.6,534573456.2098433,1057622427.0162922
3313548.0,0.11703968221472898,0.6,535191973.16064054,1058653288.6009601
3366144.0,0.11730552501662782,0.6,535812501.9227812,1059687503.2045292
3418740.0,0.11757121866056504,0.6,536435046.422569,1060725077.3708478
3471336.0,0.11783676295493359,0.6,537059610.6002057,1061766017.666912
3523932.0,0.11810215770916589,0.6,537686198.4098457,1062810330.6829687
3576528.0,0.11836740273373367,0.6,538314813.8195913,1063858023.0325358
3629124.0,0.11863249784014489,0.6,538945460.811567,1064909101.3524979
3681720.0,0.11889744284094568,0.6,539578143.3819525,1065963572.3031316
3734316.0,0.11916223754972077,0.6,540212865.5409746,1067021442.5681709
3786912.0,0.11942688178109112,0.6,540849631.313012,1068082718.854902
3839508.0,0.11969137535071558,0.6,541488444.7365547,1069147407.8941401
3892104.0,0.119955718075291,0.6,542129309.8643105,1070215516.4403917
3944700.0,0.12021990977255097,0.6,542772230.7631845,1071287051.2718517
3997296.0,0.12048395026126675,0.6,543417211.5143545,1072362019.1904827
4049892.0,0.12074783936124521,0.6,544064256.2133003,1073440427.0220623
4102488.0,0.12101157689333121,0.6,544713368.9698176,1074522281.6162527
4155084.0,0.12127516267940486,0.6,545364553.908073,1075607589.846683
4207680.0,0.12153859654238282,0.6,546017815.1666434,1076696358.6109676
4260276.0,0.12180187830621855,0.6,546673156.8985435,1077788594.8307989
4312872.0,0.12206500779589972,0.6,547330583.2712615,1078884305.4519958
4365468.0,0.1223279848374512,0.6,547990098.4668078,1079983497.4445763
