block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49
0.0,41689474.14850172,40987656.079201765,39462328.41720267,34557482.81043493,29533667.924170695,18330770.822762243,17298828.665047638,16008064.652673716,12867012.595634269,11918498.981094707,11859475.646455519,11705443.370419359,11371729.333632758,10691172.177430328,10558443.409206968,10005109.161171222,9750710.365580255,9365711.98536238,9261031.43930063,9131036.480920436,7263229.084450628,6855771.088587258,6677298.53856601,6416354.278055369,5802720.314695518,5546518.862362834,5519532.373627539,5427801.610757672,4950870.946732119,4928650.858066636,4515040.8085655095,4444825.485022331,4202467.59723766,4122426.7599005853,3877654.674008243,3877308.609729919,3847086.971695073,3810742.831789873,3792399.133081243,3730968.723043159,3641761.385742603,3634722.0253889593,3603995.999559204,3595508.940488874,3348415.9475914114,3319286.8009550273,3281921.4419016633,3220699.6127210623,3196333.138761796,3194036.690710046
52596.0,41724824.4788646,41018621.63725757,39495539.026952334,34583028.062756404,29553125.61121104,18327805.08655752,17299274.2377284,16004902.92437045,12868483.278282555,11918697.308535539,11859594.798810165,11705355.900786199,11366457.823405677,10689724.144053753,10556817.330795731,9999652.8742398,9748000.777846107,9353754.500704052,9250546.601892129,9121763.827307874,7252689.180586297,6859735.676132177,6679051.568007212,6419884.881536034,5804174.846995093,5549576.373614319,5523739.629902757,5431191.710937867,4953475.038694214,4929807.066868986,4516055.850558364,4449317.623552185,4205602.952645987,4126680.9763048533,3879087.177537293,3881149.7036569747,3850691.1250839583,3814307.9672362115,3795177.224585284,3732327.140789005,3642478.3738799533,3636494.0184047013,3606070.257153219,3597256.14211049,3351822.914629098,3320905.351619845,3283053.062061919,3222497.3289414314,3198893.064597018,3195123.9234523303
105192.0,41760388.874416664,41049777.59155898,39528954.523933485,34608741.179043606,29572723.26386906,18324875.692290865,17299770.733905602,16001776.492562793,12870013.943251463,11918949.627392152,11859767.569783337,11705321.076888725,11361212.523124814,10688322.350176558,10555236.65355592,9994222.093666747,9745331.48956252,9341801.165836425,9240068.90775707,9112501.566163912,7242154.371993281,6863713.689504517,6680810.325639727,6423430.06503001,5805634.357219784,5552645.304232794,5527964.816613383,5434596.242686856,4956090.380621782,4930967.50376668,4517074.765826848,4453832.094700685,4208752.8343437845,4130956.6919985996,3880525.311930997,3885010.177944232,3854313.4058080595,3817891.058765512,3797968.424932252,3733690.9763922226,3643198.4861409008,3638274.2706737714,3608154.0971379816,3599011.5138807413,3355247.6375730843,3322530.7361483816,3284189.4480038667,3224303.6084349784,3201465.2189772897,3196215.794356073
157788.0,41796167.92311366,41081124.420992576,39562575.472776935,34634622.58807525,29592461.222010985,18321982.63274859,17300318.190170597,15998685.349099046,12871604.698778074,11919256.025300093,11859994.045728937,11705338.981734931,11355993.405184366,10686966.856777325,10553701.43558339,9988816.792223549,9742702.541281248,9329851.935322627,9229598.301139135,9103249.63852381,7231624.589829766,6867705.11714413,6682574.7992486,6426989.845510771,5807098.834754543,5555725.65368626,5532207.961430822,5438015.225709385,4958716.985611696,4932132.159743682,4518097.546111413,4458368.964254703,4211917.271141313,4135253.9722079295,3881969.071891937,3888890.0892503993,3857953.8650657996,3821492.1570925554,3800772.7601211225,3735060.224755773,3643921.7158635044,3640062.7918113186,3610247.5325972713,3600775.065311051,3358690.1708801514,3324162.95422229,3285330.5952439113,3226118.462893954,3204049.6251250124,3197312.2990577314
210384.0,41832162.21517589,41112662.60615117,39596402.44031888,34660672.72025315,29612339.826798644,18319125.900653984,17300916.643217552,15995629.485784447,12873255.653656492,11919616.59036822,11860274.313469289,11705409.698788485,11350800.441919507,10685657.725201134,10552211.73532861,9983436.942635057,9740113.973838799,9317906.76369729,9219134.726216577,9094007.985327829,7221099.765172683,6871709.947285544,6684344.9765381785,6430564.239936882,5808568.268914104,5558817.421341958,5536469.092027452,5441448.679707774,4961354.866749049,4933301.025724214,4519124.183098055,4462928.298221422,4215096.291896844,4139572.8823855068,3883418.452057053,3892789.494422375,3861612.554217717,3825111.3130925265,3803590.256194236,3736434.8807194782,3644648.056341738,3641859.5914239017,3612350.5766131645,3602546.80590433,3362150.5691987006,3325802.005462894,3286476.4992429,3227941.904009167,3206646.306284537,3198413.433139712
262980.0,41868372.34309273,41144392.629338205,39630435.99560648,34686892.00760594,29632359.420693565,18316305.48866999,17301566.12984309,15992608.894380895,12874966.91724016,11920031.4111839,11860608.46029763,11705533.311970072,11345633.605605556,10684395.017161014,10550767.611598715,9978082.517578833,9737565.82835647,9305965.605466692,9208678.127102837,9084776.547420938,7210579.829018331,6875728.167956844,6686120.845131717,6434153.265251315,5810042.648942931,5561920.606465659,5540748.236076236,5444896.624381449,4964004.037107171,4934474.092572832,4520154.66841791,4467510.162829107,4218289.925516405,4143913.488210892,3884873.4469972854,3896708.450495625,3865289.524786901,3828748.5778018655,3806420.9392370787,3737814.939059642,3645377.5008254303,3643664.6791094216,3614463.242265874,3604326.745154916,3365628.8873692784,3327447.889430786,3287627.155405843,3229773.9434695826,3209255.2857220205,3199519.1921301084
315576.0,41904798.90162947,41176314.97457052,39664676.709907986,34713280.883791916,29652520.347459085,18313521.389394376,17302266.68694592,15989623.56660666,12876738.599443007,11920500.576808684,11860996.57397895,11705709.90565843,11340492.86845818,10683178.794738702,10549369.123557465,9972753.489685198,9735058.14624164,9294028.415109875,9198228.447846992,9075555.265553128,7200064.712282912,6879759.766978526,6687902.392571374,6437756.938381484,5811521.964014786,5565035.208221127,5545045.421250394,5448359.079426685,4966664.509747252,4935651.351094135,4521188.9936472345,4472114.624527216,4221498.200953942,4148275.8555912524,3886334.05121736,3900647.0146945966,3868984.8284592587,3832404.0024181553,3809264.8353783023,3739200.3944888823,3646110.042520072,3645478.064456818,3616585.5426335046,3606114.8925483157,3369125.1804250195,3329100.6056255335,3288782.559081765,3231614.5929624652,3211876.586725101,3200629.5715024373
368172.0,41941442.48783286,41208430.1275844,39699125.15671308,34739839.78410563,29672822.95216392,18310773.59536196,17303018.351526406,15986673.494135816,12878570.81074147,11921024.176783657,11861438.742751624,11705939.564692108,11335378.202632617,10682009.120385986,10548016.33072728,9967449.831536802,9732590.969188353,9282095.147078043,9187785.632433759,9066344.080379786,7189554.3458026815,6883804.731962321,6689689.606317972,6441375.276238757,5813006.2032328565,5568161.225669517,5549360.675222595,5451836.064536398,4969336.297718133,4936832.792032643,4522227.150307324,4476741.749987135,4224721.147210851,4152660.0506618414,3887800.2591555733,3904605.2444330314,3872698.5170837687,3836077.638300591,3812121.970789438,3740591.241655893,3646845.6745869787,3647299.7570460234,3618717.4907919196,3607911.257561118,3372639.5035920455,3330760.153485308,3289942.7055633813,3233463.8641730323,3214510.2326026238,3201744.5666755354
420768.0,41978303.70104041,41240738.575837225,39733781.911742926,34766569.14547828,29693267.581184566,18308062.099043705,17303821.1606865,15983758.668597756,12880463.66217616,11921602.301129634,11861935.055328485,11706222.374370558,11330289.580223493,10680886.056925585,10546709.29298958,9962171.51566782,9730164.339178242,9270165.75579593,9177349.62478405,9057142.93246107,7179048.660335035,6887863.050310103,6691482.473750926,6445008.295718145,5814495.355629556,5571298.6577688325,5553694.02566475,5455327.599399814,4972019.414056056,4938018.406072884,4523269.129864418,4481391.606102588,4227958.793336145,4157066.1397866774,3889272.065183553,3908583.197314481,3876430.6426728484,3839769.536970196,3814992.3716848986,3741987.4751451737,3647584.390142868,3649129.766447737,3620859.099814529,3609715.8496607463,3376171.9122902304,3332426.5323865013,3291107.590087021,3235321.768784264,3217156.2466844036,3202864.173013247
473364.0,42015383.14287393,41273240.80851222,39768647.55295495,34793469.40648464,29713854.582212124,18305386.89284599,17304675.151629053,15980879.081576979,12882417.265353391,11922235.040349107,11862485.600898739,11706558.42045587,11325226.973264337,10679809.667552235,10545448.070585474,9956918.514564142,9727778.298481122,9258240.195661334,9166920.368755175,9047951.762263665,7168547.586558515,6891934.709212627,6693280.98216793,6448656.013698179,5815989.41016638,5574447.503373251,5558045.500247516,5458833.703702103,4974713.871784576,4939208.183839055,4524314.923729525,4486064.259990132,4231211.168426067,4161494.1895585675,3890749.46360592,3912580.9311326765,3880181.2574026654,3843479.750110162,3817876.0643217736,3743389.0894768266,3648326.182260023,3650968.1022232124,3623010.382771984,3611528.678305319,3379722.462133292,3334099.7416434237,3292277.2078323164,3237188.3184767896,3219814.652320816,3203988.3858243055
